clique size,fraction correct
156,0.98
154,0.98
152,0.97
151,0.98
149,0.98
148,0.98
146,0.98
145,0.98
143,0.98
141,0.98
140,0.97
138,0.98
137,0.98
135,0.97
134,0.97
132,0.98
130,0.97
129,0.97
127,0.98
126,0.97
124,0.98
123,0.98
121,0.98
119,0.98
118,0.97
116,0.97
115,0.99
113,0.98
112,0.99
110,0.99
109,0.97
107,0.99
105,0.99
104,0.98
102,0.98
101,0.98
99,0.97
98,0.98
96,0.98
94,0.97
93,0.98
91,0.96
90,0.98
88,0.98
87,0.98
85,0.99
83,0.98
82,0.98
80,0.98
79,0.98
77,0.98
76,0.98
74,0.98
73,0.98
71,0.97
69,0.97
68,0.98
66,0.98
65,0.98
63,0.98
62,0.98
60,0.97
58,0.98
57,0.98
55,0.98
54,0.98
52,0.98
51,0.98
49,0.98
47,0.97
46,0.97
44,0.96
43,0.96
41,0.92
40,0.9
38,0.86
37,0.86
35,0.78
33,0.74
32,0.7
30,0.64
29,0.62
27,0.6
26,0.59
24,0.5
22,0.58
21,0.5
19,0.53
18,0.55
16,0.48
15,0.53
13,0.5
11,0.49
10,0.54
8,0.52
7,0.53
5,0.53
4,0.47
2,0.53
1,0.48
